qid	underline	answers	sentence	same_signature	exact_word
349021	注ぎます	まぜます/つぎます/そそぎます/あげます	コップに水を注ぎます。		
348984	声楽	せいらく/こえがく/せいがく/こえらく	弟は大学で声楽を学んでいます。		
349061	売って	かって/まって/うって/とって	このパンは安く売っています。	売る=うる(bán,N4); 売れる=うれる(bán chạy, bán được,N4); 売れます=うれます(bán chạy [bánh mì],N4)	
348944	受ける	あける/うける/うごける/つける	しけんを受けるつもりです。	受けます=うけます(dự [thi],N4)	
348998	草原	そうはら/くさはら/くさげん/そうげん	広い草原であそびました。		
349073	冷水	ひみず/れいずい/れいすい/つめみず	のどが渇いたので冷水を飲みます。		
348830	起床	こしょう/きしょう/けしょう/おしょう	明日は起床時間が早いです。		
348881	困って	ひまって/こまって/はまって/とまって	お金がなくて困っています。	困ります=こまります(khó khăn,N4)	
348976	森	き/はやし/もり/しん	広い森の中をさんぽしました。		
348889	困難	こんらん/こなな/こんなん/こうなん	彼は多くの困難をのりこえました。		
348934	取得	とりどく/すとく/しゅとく/しゅうとく	うんどうめんきょを取得しました。		
348897	使って	つくって/つまって/つまって/つかって	パソコンを使ってレポートを書きます。	使う=つかう(dùng, sử dụng,N4)	
348776	一人旅	ひとりりょ/いちにんりょ/ひとりたび/いちにんたび	明日は一人旅に行きます。		
349064	方	ほう/かた/がた/ぼう	あの方はどなたですか。	あの方=あのかた(vị kia, người kia (lịch sự),N5)	
349033	低速	でいそく/ひくそく/ていそく/じそく	低速でうんてんしてください。		
348857	血	けっ/けつ/ち/じ	転んで膝から血が出ました。		
349066	未定	めてい/めいてい/びてい/みてい	まだきまっていないことを未定と言います。		
349032	通学	とおがく/つうかく/つうがく/かよがく	毎日、でんしゃで通学しています。		
348796	東京駅	とうきょうまち/とうきょうえん/とうきょうえき/とうきょうき	東京駅の近くで晩ご飯を食べました。		
348802	映して	うつして/はなして/かくして/さがして	かがみに自分のすがたを映して見ました。		
348769	菜の花	なのはな/なのばな/さいのばな/さいのはな	庭にきれいな菜の花が咲いています。		
348913	親指	おやゆび/おやし/したゆび/おやび	りょうりちゅうに親指をきってしまいました。		
349018	短かった	ひくかった/たんかった/みじかかった/かるかった	なつやみはとても短かったです。	短い=みじかい(ngắn,N4)	
349009	多々	たた/おおおお/おおど/たたあ	多々、もんだいがはっせいしています。	多い=おおい(nhiều,N5)	
349041	この度	このじ/このかい/このど/このたび	この度、けっこんすることになりました。		
348790	暗黒	くらいこく/あんごく/あんこく/くらこく	暗黒のせかいをえいがでひょうげんしています。		
348987	静止画	ぜいしが/しずしが/せいしが/じょうしが	どうがを止めて静止画にします。		
348825	音楽会	おとがくかい/おんらくかい/おんがくがい/おんがくかい	昨日は友達と音楽会に行きました。		
348921	所持	しょち/じょじ/そじ/しょじ	大切なしょるいを所持しています。		
348893	市	いち/じ/まち/し	私は千葉市に住んでいます。		
348960	春秋	しゅんじゅう/しゅんしゅう/はるしゅう/はるあき	彼はれきしの春秋をかいた。		
348939	習字	ならし/しゅうじ/しゅうし/ならじ	毎週、習字のきょうしつにかよっています。		
348900	始めます	あつめます/はしめます/はじめます/つとめます	来週から新しい仕事を始めます。	始める=はじめる(bắt đầu (tha động từ),N4); 始まる=はじまる(bắt đầu (tự động từ),N4); 始まります=はじまります([cuộc họp] bắt đầu,N4)	
